candidate_id,cohort,calculation_id,stage_role,functional,vasp_version,paw_labels,element_order,ENCUT,kpoints_mesh,kpoints_style,KSPACING,EDIFF,EDIFFG,ISMEAR,SIGMA,ISPIN,MAGMOM,MAGMOM_explicit,LDAU,LDAUL,LDAUU,LDAUJ,LASPH,LMAXMIX,NSW,IBRION,ISIF,incar_path,kpoints_path,potcar_spec_path,poscar_path,contcar_path,outcar_path,oszicar_path,vasprun_path,outcar_available,vasprun_available,output_provenance
job_101_Mg_fe_-1.339_n4_generated_crystals_cif__gen_1,new,01_pbe_relax,relax,PBE,6.5.1,PAW_PBE Li_sv 10Sep2004 | PAW_PBE Mg_pv 13Apr2007 | PAW_PBE O 08Apr2002,Li Mg O,520.0,5x5x4,Gamma,,1e-05,-0.08,0,0.05,2,0.0 0.0 0.0 0.6 0.6 0.6 0.6,True,False,,,,True,,160,2,3,new12_dft_final/candidate_outputs/candidate_012_Mg_job_101_Mg_fe_-1.339_n4_generated_crystals_cif__gen_1/stages/01_pbe_relax/INCAR,new12_dft_final/candidate_outputs/candidate_012_Mg_job_101_Mg_fe_-1.339_n4_generated_crystals_cif__gen_1/stages/01_pbe_relax/KPOINTS,new12_dft_final/candidate_outputs/candidate_012_Mg_job_101_Mg_fe_-1.339_n4_generated_crystals_cif__gen_1/stages/01_pbe_relax/POTCAR.spec,new12_dft_final/candidate_outputs/candidate_012_Mg_job_101_Mg_fe_-1.339_n4_generated_crystals_cif__gen_1/stages/01_pbe_relax/POSCAR,new12_dft_final/candidate_outputs/candidate_012_Mg_job_101_Mg_fe_-1.339_n4_generated_crystals_cif__gen_1/stages/01_pbe_relax/CONTCAR,new12_dft_final/candidate_outputs/candidate_012_Mg_job_101_Mg_fe_-1.339_n4_generated_crystals_cif__gen_1/stages/01_pbe_relax/OUTCAR,new12_dft_final/candidate_outputs/candidate_012_Mg_job_101_Mg_fe_-1.339_n4_generated_crystals_cif__gen_1/stages/01_pbe_relax/OSZICAR,new12_dft_final/candidate_outputs/candidate_012_Mg_job_101_Mg_fe_-1.339_n4_generated_crystals_cif__gen_1/stages/01_pbe_relax/vasprun.xml,True,True,stage-specific original output
job_101_Mg_fe_-1.339_n4_generated_crystals_cif__gen_1,new,02_pbe_static,static,PBE,6.5.1,PAW_PBE Li_sv 10Sep2004 | PAW_PBE Mg_pv 13Apr2007 | PAW_PBE O 08Apr2002,Li Mg O,520.0,5x5x4,Gamma,,1e-06,,0,0.05,2,0.0 0.0 0.0 0.6 0.6 0.6 0.6,True,False,,,,True,,0,-1,,new12_dft_final/candidate_outputs/candidate_012_Mg_job_101_Mg_fe_-1.339_n4_generated_crystals_cif__gen_1/stages/02_pbe_static/INCAR,new12_dft_final/candidate_outputs/candidate_012_Mg_job_101_Mg_fe_-1.339_n4_generated_crystals_cif__gen_1/stages/02_pbe_static/KPOINTS,new12_dft_final/candidate_outputs/candidate_012_Mg_job_101_Mg_fe_-1.339_n4_generated_crystals_cif__gen_1/stages/02_pbe_static/POTCAR.spec,new12_dft_final/candidate_outputs/candidate_012_Mg_job_101_Mg_fe_-1.339_n4_generated_crystals_cif__gen_1/stages/02_pbe_static/POSCAR,new12_dft_final/candidate_outputs/candidate_012_Mg_job_101_Mg_fe_-1.339_n4_generated_crystals_cif__gen_1/stages/02_pbe_static/CONTCAR,new12_dft_final/candidate_outputs/candidate_012_Mg_job_101_Mg_fe_-1.339_n4_generated_crystals_cif__gen_1/stages/02_pbe_static/OUTCAR,new12_dft_final/candidate_outputs/candidate_012_Mg_job_101_Mg_fe_-1.339_n4_generated_crystals_cif__gen_1/stages/02_pbe_static/OSZICAR,new12_dft_final/candidate_outputs/candidate_012_Mg_job_101_Mg_fe_-1.339_n4_generated_crystals_cif__gen_1/stages/02_pbe_static/vasprun.xml,True,True,stage-specific original output
job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1,new,01_pbe_relax,relax,PBE,6.5.1,PAW_PBE Li_sv 10Sep2004 | PAW_PBE Cr_pv 02Aug2007 | PAW_PBE O 08Apr2002,Li Cr O,520.0,7x4x4,Gamma,,1e-05,-0.08,0,0.05,2,0.6 5.0 5.0 0.6 0.6 0.6 0.6,True,False,,,,True,,160,2,3,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/stages/01_pbe_relax/INCAR,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/stages/01_pbe_relax/KPOINTS,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/stages/01_pbe_relax/POTCAR.spec,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/stages/01_pbe_relax/POSCAR,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/stages/01_pbe_relax/CONTCAR,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/stages/01_pbe_relax/OUTCAR,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/stages/01_pbe_relax/OSZICAR,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/stages/01_pbe_relax/vasprun.xml,True,True,stage-specific original output
job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1,new,02_pbe_static,static,PBE,6.5.1,PAW_PBE Li_sv 10Sep2004 | PAW_PBE Cr_pv 02Aug2007 | PAW_PBE O 08Apr2002,Li Cr O,520.0,7x4x4,Gamma,,1e-06,,0,0.05,2,0.6 5.0 5.0 0.6 0.6 0.6 0.6,True,False,,,,True,,0,-1,,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/stages/02_pbe_static/INCAR,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/stages/02_pbe_static/KPOINTS,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/stages/02_pbe_static/POTCAR.spec,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/stages/02_pbe_static/POSCAR,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/stages/02_pbe_static/CONTCAR,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/stages/02_pbe_static/OUTCAR,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/stages/02_pbe_static/OSZICAR,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/stages/02_pbe_static/vasprun.xml,True,True,stage-specific original output
job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1,new,03_gga_u_relax,relax,GGA+U,6.5.1,PAW_PBE Li_sv 10Sep2004 | PAW_PBE Cr_pv 02Aug2007 | PAW_PBE O 08Apr2002,Li Cr O,520.0,7x4x4,Gamma,,1e-05,-0.08,0,0.05,2,0.6 5.0 5.0 0.6 0.6 0.6 0.6,True,True,-1 2 -1,0.0 3.7 0.0,0.0 0.0 0.0,True,4,160,2,3,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/stages/03_gga_u_relax/INCAR,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/stages/03_gga_u_relax/KPOINTS,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/stages/03_gga_u_relax/POTCAR.spec,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/stages/03_gga_u_relax/POSCAR,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/stages/03_gga_u_relax/CONTCAR,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/stages/03_gga_u_relax/OUTCAR,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/stages/03_gga_u_relax/OSZICAR,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/stages/03_gga_u_relax/vasprun.xml,True,True,stage-specific original output
job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1,new,04_gga_u_static,static,GGA+U,6.5.1,PAW_PBE Li_sv 10Sep2004 | PAW_PBE Cr_pv 02Aug2007 | PAW_PBE O 08Apr2002,Li Cr O,520.0,7x4x4,Gamma,,1e-06,,0,0.05,2,0.6 5.0 5.0 0.6 0.6 0.6 0.6,True,True,-1 2 -1,0.0 3.7 0.0,0.0 0.0 0.0,True,4,0,-1,,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/stages/04_gga_u_static/INCAR,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/stages/04_gga_u_static/KPOINTS,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/stages/04_gga_u_static/POTCAR.spec,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/stages/04_gga_u_static/POSCAR,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/stages/04_gga_u_static/CONTCAR,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/stages/04_gga_u_static/OUTCAR,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/stages/04_gga_u_static/OSZICAR,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/stages/04_gga_u_static/vasprun.xml,True,True,stage-specific original output
job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1,new,tight_state_afm_01_tight_relax,relax,GGA+U,6.5.1,PAW_PBE Li_sv 10Sep2004 | PAW_PBE Cr_pv 02Aug2007 | PAW_PBE O 08Apr2002,Li Cr O,520.0,7x4x4,Gamma,,1e-05,-0.05,0,0.05,2,0.6 5.0 -5.0 0.6 0.6 0.6 0.6,True,True,-1 2 -1,0.0 3.7 0.0,0.0 0.0 0.0,True,4,160,2,3,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/tight_magnetic_states/state_afm/01_tight_relax/INCAR,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/tight_magnetic_states/state_afm/01_tight_relax/KPOINTS,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/tight_magnetic_states/state_afm/01_tight_relax/POTCAR.spec,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/tight_magnetic_states/state_afm/01_tight_relax/POSCAR,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/tight_magnetic_states/state_afm/01_tight_relax/CONTCAR,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/tight_magnetic_states/state_afm/01_tight_relax/OUTCAR,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/tight_magnetic_states/state_afm/01_tight_relax/OSZICAR,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/tight_magnetic_states/state_afm/01_tight_relax/vasprun.xml,True,True,stage-specific original output
job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1,new,tight_state_afm_02_static,static,GGA+U,6.5.1,PAW_PBE Li_sv 10Sep2004 | PAW_PBE Cr_pv 02Aug2007 | PAW_PBE O 08Apr2002,Li Cr O,520.0,7x4x4,Gamma,,1e-06,,0,0.05,2,0.6 5.0 -5.0 0.6 0.6 0.6 0.6,True,True,-1 2 -1,0.0 3.7 0.0,0.0 0.0 0.0,True,4,0,-1,,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/tight_magnetic_states/state_afm/02_static/INCAR,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/tight_magnetic_states/state_afm/02_static/KPOINTS,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/tight_magnetic_states/state_afm/02_static/POTCAR.spec,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/tight_magnetic_states/state_afm/02_static/POSCAR,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/tight_magnetic_states/state_afm/02_static/CONTCAR,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/tight_magnetic_states/state_afm/02_static/OUTCAR,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/tight_magnetic_states/state_afm/02_static/OSZICAR,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/tight_magnetic_states/state_afm/02_static/vasprun.xml,True,True,stage-specific original output
job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1,new,tight_state_fm_01_tight_relax,relax,GGA+U,6.5.1,PAW_PBE Li_sv 10Sep2004 | PAW_PBE Cr_pv 02Aug2007 | PAW_PBE O 08Apr2002,Li Cr O,520.0,7x4x4,Gamma,,1e-05,-0.05,0,0.05,2,0.6 5.0 5.0 0.6 0.6 0.6 0.6,True,True,-1 2 -1,0.0 3.7 0.0,0.0 0.0 0.0,True,4,160,2,3,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/tight_magnetic_states/state_fm/01_tight_relax/INCAR,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/tight_magnetic_states/state_fm/01_tight_relax/KPOINTS,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/tight_magnetic_states/state_fm/01_tight_relax/POTCAR.spec,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/tight_magnetic_states/state_fm/01_tight_relax/POSCAR,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/tight_magnetic_states/state_fm/01_tight_relax/CONTCAR,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/tight_magnetic_states/state_fm/01_tight_relax/OUTCAR,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/tight_magnetic_states/state_fm/01_tight_relax/OSZICAR,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/tight_magnetic_states/state_fm/01_tight_relax/vasprun.xml,True,True,stage-specific original output
job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1,new,tight_state_fm_02_static,static,GGA+U,6.5.1,PAW_PBE Li_sv 10Sep2004 | PAW_PBE Cr_pv 02Aug2007 | PAW_PBE O 08Apr2002,Li Cr O,520.0,7x4x4,Gamma,,1e-06,,0,0.05,2,0.6 5.0 5.0 0.6 0.6 0.6 0.6,True,True,-1 2 -1,0.0 3.7 0.0,0.0 0.0 0.0,True,4,0,-1,,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/tight_magnetic_states/state_fm/02_static/INCAR,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/tight_magnetic_states/state_fm/02_static/KPOINTS,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/tight_magnetic_states/state_fm/02_static/POTCAR.spec,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/tight_magnetic_states/state_fm/02_static/POSCAR,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/tight_magnetic_states/state_fm/02_static/CONTCAR,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/tight_magnetic_states/state_fm/02_static/OUTCAR,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/tight_magnetic_states/state_fm/02_static/OSZICAR,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/tight_magnetic_states/state_fm/02_static/vasprun.xml,True,True,stage-specific original output
job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_0,new,01_pbe_relax,relax,PBE,6.5.1,PAW_PBE Li_sv 10Sep2004 | PAW_PBE Cr_pv 02Aug2007 | PAW_PBE O 08Apr2002,Li Cr O,520.0,7x4x4,Gamma,,1e-05,-0.08,0,0.05,2,0.6 5.0 5.0 0.6 0.6 0.6 0.6,True,False,,,,True,,160,2,3,new12_dft_final/candidate_outputs/candidate_003_Cr_job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_0/stages/01_pbe_relax/INCAR,new12_dft_final/candidate_outputs/candidate_003_Cr_job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_0/stages/01_pbe_relax/KPOINTS,new12_dft_final/candidate_outputs/candidate_003_Cr_job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_0/stages/01_pbe_relax/POTCAR.spec,new12_dft_final/candidate_outputs/candidate_003_Cr_job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_0/stages/01_pbe_relax/POSCAR,new12_dft_final/candidate_outputs/candidate_003_Cr_job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_0/stages/01_pbe_relax/CONTCAR,new12_dft_final/candidate_outputs/candidate_003_Cr_job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_0/stages/01_pbe_relax/OUTCAR,new12_dft_final/candidate_outputs/candidate_003_Cr_job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_0/stages/01_pbe_relax/OSZICAR,new12_dft_final/candidate_outputs/candidate_003_Cr_job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_0/stages/01_pbe_relax/vasprun.xml,True,True,stage-specific original output
job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_0,new,02_pbe_static,static,PBE,6.5.1,PAW_PBE Li_sv 10Sep2004 | PAW_PBE Cr_pv 02Aug2007 | PAW_PBE O 08Apr2002,Li Cr O,520.0,7x4x4,Gamma,,1e-06,,0,0.05,2,0.6 5.0 5.0 0.6 0.6 0.6 0.6,True,False,,,,True,,0,-1,,new12_dft_final/candidate_outputs/candidate_003_Cr_job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_0/stages/02_pbe_static/INCAR,new12_dft_final/candidate_outputs/candidate_003_Cr_job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_0/stages/02_pbe_static/KPOINTS,new12_dft_final/candidate_outputs/candidate_003_Cr_job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_0/stages/02_pbe_static/POTCAR.spec,new12_dft_final/candidate_outputs/candidate_003_Cr_job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_0/stages/02_pbe_static/POSCAR,new12_dft_final/candidate_outputs/candidate_003_Cr_job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_0/stages/02_pbe_static/CONTCAR,new12_dft_final/candidate_outputs/candidate_003_Cr_job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_0/stages/02_pbe_static/OUTCAR,new12_dft_final/candidate_outputs/candidate_003_Cr_job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_0/stages/02_pbe_static/OSZICAR,new12_dft_final/candidate_outputs/candidate_003_Cr_job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_0/stages/02_pbe_static/vasprun.xml,True,True,stage-specific original output
job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_0,new,03_gga_u_relax,relax,GGA+U,6.5.1,PAW_PBE Li_sv 10Sep2004 | PAW_PBE Cr_pv 02Aug2007 | PAW_PBE O 08Apr2002,Li Cr O,520.0,7x4x4,Gamma,,1e-05,-0.08,0,0.05,2,0.6 5.0 5.0 0.6 0.6 0.6 0.6,True,True,-1 2 -1,0.0 3.7 0.0,0.0 0.0 0.0,True,4,160,2,3,new12_dft_final/candidate_outputs/candidate_003_Cr_job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_0/stages/03_gga_u_relax/INCAR,new12_dft_final/candidate_outputs/candidate_003_Cr_job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_0/stages/03_gga_u_relax/KPOINTS,new12_dft_final/candidate_outputs/candidate_003_Cr_job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_0/stages/03_gga_u_relax/POTCAR.spec,new12_dft_final/candidate_outputs/candidate_003_Cr_job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_0/stages/03_gga_u_relax/POSCAR,new12_dft_final/candidate_outputs/candidate_003_Cr_job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_0/stages/03_gga_u_relax/CONTCAR,new12_dft_final/candidate_outputs/candidate_003_Cr_job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_0/stages/03_gga_u_relax/OUTCAR,new12_dft_final/candidate_outputs/candidate_003_Cr_job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_0/stages/03_gga_u_relax/OSZICAR,new12_dft_final/candidate_outputs/candidate_003_Cr_job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_0/stages/03_gga_u_relax/vasprun.xml,True,True,stage-specific original output
job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_0,new,04_gga_u_static,static,GGA+U,6.5.1,PAW_PBE Li_sv 10Sep2004 | PAW_PBE Cr_pv 02Aug2007 | PAW_PBE O 08Apr2002,Li Cr O,520.0,7x4x4,Gamma,,1e-06,,0,0.05,2,0.6 5.0 5.0 0.6 0.6 0.6 0.6,True,True,-1 2 -1,0.0 3.7 0.0,0.0 0.0 0.0,True,4,0,-1,,new12_dft_final/candidate_outputs/candidate_003_Cr_job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_0/stages/04_gga_u_static/INCAR,new12_dft_final/candidate_outputs/candidate_003_Cr_job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_0/stages/04_gga_u_static/KPOINTS,new12_dft_final/candidate_outputs/candidate_003_Cr_job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_0/stages/04_gga_u_static/POTCAR.spec,new12_dft_final/candidate_outputs/candidate_003_Cr_job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_0/stages/04_gga_u_static/POSCAR,new12_dft_final/candidate_outputs/candidate_003_Cr_job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_0/stages/04_gga_u_static/CONTCAR,new12_dft_final/candidate_outputs/candidate_003_Cr_job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_0/stages/04_gga_u_static/OUTCAR,new12_dft_final/candidate_outputs/candidate_003_Cr_job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_0/stages/04_gga_u_static/OSZICAR,new12_dft_final/candidate_outputs/candidate_003_Cr_job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_0/stages/04_gga_u_static/vasprun.xml,True,True,stage-specific original output
job_148_Mn_fe_-0.904_n4_generated_crystals_cif__gen_2,new,01_pbe_relax,relax,PBE,6.5.1,PAW_PBE Li_sv 10Sep2004 | PAW_PBE Mn_pv 02Aug2007 | PAW_PBE O 08Apr2002,Li Mn O,520.0,7x4x4,Gamma,,1e-05,-0.08,0,0.05,2,0.6 5.0 5.0 0.6 0.6 0.6 0.6,True,False,,,,True,,160,2,3,new12_dft_final/candidate_outputs/candidate_007_Mn_job_148_Mn_fe_-0.904_n4_generated_crystals_cif__gen_2/stages/01_pbe_relax/INCAR,new12_dft_final/candidate_outputs/candidate_007_Mn_job_148_Mn_fe_-0.904_n4_generated_crystals_cif__gen_2/stages/01_pbe_relax/KPOINTS,new12_dft_final/candidate_outputs/candidate_007_Mn_job_148_Mn_fe_-0.904_n4_generated_crystals_cif__gen_2/stages/01_pbe_relax/POTCAR.spec,new12_dft_final/candidate_outputs/candidate_007_Mn_job_148_Mn_fe_-0.904_n4_generated_crystals_cif__gen_2/stages/01_pbe_relax/POSCAR,new12_dft_final/candidate_outputs/candidate_007_Mn_job_148_Mn_fe_-0.904_n4_generated_crystals_cif__gen_2/stages/01_pbe_relax/CONTCAR,new12_dft_final/candidate_outputs/candidate_007_Mn_job_148_Mn_fe_-0.904_n4_generated_crystals_cif__gen_2/stages/01_pbe_relax/OUTCAR,new12_dft_final/candidate_outputs/candidate_007_Mn_job_148_Mn_fe_-0.904_n4_generated_crystals_cif__gen_2/stages/01_pbe_relax/OSZICAR,new12_dft_final/candidate_outputs/candidate_007_Mn_job_148_Mn_fe_-0.904_n4_generated_crystals_cif__gen_2/stages/01_pbe_relax/vasprun.xml,True,True,stage-specific original output
